,Column1,Date,Case Number,ItemInCase,Language,Country,Repairability Index,Size,Model name,Year,General condition,Wash,Repair Threshold,Customer Offer,Age,Fabric_Down Loft,Fabric_K Fleece,Fabric_WBW 2L Membrane,Fabric_WBW 3L Membrane,Fabric failure - Membrane delamination_No,Fabric failure - Membrane delamination_Yes,Fabric failure - Leak through_No,Fabric failure - Leak through_Yes,Fabric failure - Wetting out_No,Fabric failure - Wetting out_Yes,Fabric failure - Down leakage_No,Fabric failure - Down leakage_Yes,Fabric failure - Fading_No,Fabric failure - Fading_Yes,Fabric failure - Pilling_No,Fabric failure - Pilling_Yes,Fabric torn - Rips - Patchable_No,Fabric torn - Rips - Patchable_Yes,Fabric torn - Rips - Not patchable - 1 panel_No,Fabric torn - Rips - Not patchable - 1 panel_Yes,Fabric torn - Rips - Not patchable - X panels_No,Fabric torn - Rips - Not patchable - X panels_Yes,Fabric torn - Abrasion - Light_No,Fabric torn - Abrasion - Light_Yes,Fabric torn - Abrasion - Heavy - 1 panel_No,Fabric torn - Abrasion - Heavy - 1 panel_Yes,Fabric torn - Abrasion - Heavy - X panels_No,Fabric torn - Abrasion - Heavy - X panels_Yes,Fabric torn - Burn - Patchable - _No,Fabric torn - Burn - Not patchable - 1 panel_No,Fabric torn - Burn - Not patchable - 1 panel_Yes,Fabric torn - Burn - Not patchable - X panels_No,Fabric torn - Burn - Not patchable - X panels_Yes,Fabric torn - Stain_No,Fabric torn - Stain_Yes,Fabric torn - Membrane contamination - Light_No,Fabric torn - Membrane contamination - Light_Yes,Fabric torn - Membrane contamination - Heavy_No,Fabric torn - Membrane contamination - Heavy_Yes,Zipper failure - Zipper structureMain_No,Zipper failure - Zipper structureMain_Yes,Zipper failure - Zipper structureAll except main_No,Zipper failure - Zipper structureAll except main_Yes,Zipper failure - Zipper slider_No,Zipper failure - Zipper slider_Yes,Delamination - Press_No,Delamination - Press_Yes,Delamination - 70D Nylon_No,Delamination - 70D Nylon_Yes,Delamination - Seam tape_No,Delamination - Seam tape_Yes,Seam failure - Seam sewn non-WBW Membrane_No,Seam failure - Seam sewn non-WBW Membrane_Yes,Delamination - Seam sewn WBW Membrane_No,Delamination - Seam sewn WBW Membrane_Yes,Delamination - Seam laminated_No,Other - Buckle_No,Other - Buckle_Yes,Known_issue_No,Known_issue_Yes,Repair solution_No,Repair solution_Yes,Repair Threshold Status_above,Repair Threshold Status_below,Repair Threshold Status_equal,Product_type_shell
12,144,11/14/19,1098568,2,EN,New Zealand,10,XS,Barents lt jacket women,2009,3_Excellent,No,8,Repair,10,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1
13,232,11/28/19,1102728,1,EN,Australia,10,L,Mediterranean ar women,2014,2_Good,No,1,Repair,5,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,1,0,1,0,0,1,0,1,0,1
14,233,11/28/19,1102728,2,EN,Australia,10,L,Boreal ar jacket women,2011,2_Good,No,8,Repair,8,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1
15,200,11/22/19,1106309,1,EN,Australia,10,S,Boreal ar jacket men,2014,2_Good,No,1006,Replacement,5,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1
16,201,11/22/19,1106309,2,EN,Australia,10,S,Boreal ar jacket men,2014,2_Good,No,1006,Replacement,5,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1
17,210,11/25/19,1109213,1,EN,Australia,10,M,Labrador jacket women,2013,2_Good,No,1000,Replacement,6,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1
18,209,11/25/19,1109213,2,EN,Australia,10,M,Labrador sv jacket men,2013,2_Good,No,1000,Replacement,6,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1
19,236,11/28/19,1109324,1,EN,Australia,10,M,Tasman lt men,2014,2_Good,No,3,50% Discount,5,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1
20,237,11/28/19,1109324,2,EN,Australia,10,M,Bering sv jacket men,2003,2_Good,No,3,30% Discount,16,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1
21,261,12/3/19,1110710,1,EN,Australia,10,L,Boreal lt jacket women,2008,3_Excellent,No,1008,Replacement,11,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1
22,262,12/3/19,1110710,2,EN,Australia,10,L,Ionian ar jacket women,2010,3_Excellent,No,1008,Replacement,9,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1
23,243,11/29/19,1112647,1,EN,Australia,10,WS,Boreal ar jacket women,2017,2_Good,No,1000,Replacement,2,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1
24,244,11/29/19,1112647,2,EN,Australia,10,XS,Boreal lt hybrid jacket women,2015,2_Good,No,1003,Replacement,4,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1
25,291,12/6/19,1113193,1,EN,Australia,10,L,Atlantis lt jacket men,2008,1_Used,No,8,30% Discount,11,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1
26,290,12/6/19,1113193,2,EN,Australia,10,S,Bering sv jacket men,2008,1_Used,Yes,6,Repair,11,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1
27,413,12/30/19,1115507,2,EN,Australia,10,XL,Mawson women,2010,2_Good,No,0,Repair,9,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1
28,333,12/12/19,1116673,1,EN,Australia,10,M,Tasman lt men,2017,0_Trashed,No,7,50% Discount,2,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1
29,332,12/12/19,1116673,2,EN,Australia,10,M,Boreal sl hybrid jacket men,2016,0_Trashed,No,10,30% Discount,3,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1,1
30,368,12/17/19,1120026,1,EN,Australia,10,XS,Neptuna sv women,2009,2_Good,No,9,Repair,10,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1
31,367,12/17/19,1120026,2,EN,Australia,10,XS,Ionian ar jacket women,2015,2_Good,No,1003,Replacement,4,0,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1
32,788,2/4/20,1125536,1,EN,Australia,2,M,Bering sv jacket men,2011,1_Used,No,5,30% Discount,9,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1
33,787,2/4/20,1125536,2,EN,Australia,2,M,Red jacket men,2011,1_Used,No,6,30% Discount,9,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1
34,633,2/3/20,1142901,1,EN,Australia,2,L,Aurora jacket men,2006,2_Good,No,15,30% Discount,14,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,1,0,1,0,1,0,1,0,0,1
35,634,2/3/20,1142901,2,EN,Australia,2,L,Labrador ar jacket men,2004,2_Good,No,11,30% Discount,16,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1
36,522,1/20/20,1143395,1,EN,Australia,2,L,Boreal ar jacket women,2011,2_Good,No,8,Replacement,9,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1
37,521,1/20/20,1143395,2,EN,Australia,2,L,Ionian ar jacket men,2011,3_Excellent,No,1000,Replacement,9,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1
38,692,2/7/20,1144995,1,EN,Australia,2,XL,Adreatic jacket men,2008,3_Excellent,No,8,30% Discount,12,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1
39,693,2/7/20,1144995,2,EN,Australia,2,XL,Ionian ar jacket men,2009,2_Good,No,8,30% Discount,11,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1
40,767,1/24/20,1149540,1,EN,Australia,2,M,Levantine lt jacket men,2010,2_Good,No,6,Replacement,10,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1
41,766,1/24/20,1149540,2,EN,Australia,2,M,Boreal sl jacket men,2011,2_Good,No,6,Replacement,9,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1
42,678,2/6/20,1150183,2,EN,Australia,2,S,Flores coat women,2012,2_Good,No,3,Replacement,8,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1
43,663,2/5/20,1150206,1,EN,Australia,2,M,Levantine lt jacket men,2002,2_Good,No,3,30% Discount,18,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1
44,662,2/5/20,1150206,2,EN,Australia,2,M,Boreal ar jacket women,2010,3_Excellent,No,1008,Replacement,10,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1
45,607,1/29/20,1150875,2,EN,Australia,2,M,Molucca ar jacket men,2016,2_Good,No,3,Replacement,4,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1
46,675,2/6/20,1151715,1,EN,Australia,2,M,Tasman lt women,2015,2_Good,No,3,50% Discount,5,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1
47,676,2/6/20,1151715,2,EN,Australia,2,S,Adreatic jacket women,2007,2_Good,No,1008,30% Discount,13,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1
48,665,2/5/20,1152886,1,EN,Australia,2,M,Atlantis fl jacket men,2013,2_Good,No,0,Repair,7,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1
49,664,2/5/20,1152886,2,EN,Australia,2,M,Atlantis sv jacket men,2013,2_Good,No,1000,Replacement,7,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1
50,279,12/5/19,471413,1,EN,Australia,10,M,Molucca ar jacket women,2016,2_Good,No,1000,Replacement,3,0,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1
51,221,11/26/19,523456,1,EN,Australia,10,S,Atlantis ar jacket men,2016,2_Good,No,5,Repair,3,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1
52,382,12/19/19,896519,1,EN,Australia,10,L,Boreal ar jacket women,2010,3_Excellent,No,1009,Replacement,9,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1
53,94,11/6/19,950325,1,EN,Australia,10,XL,Boreal sl jacket men,2005,1_Used,No,8,30% Discount,14,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1
54,107,11/7/19,984778,1,EN,Australia,10,M,Apka women,2015,2_Good,No,0,Repair,4,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1
55,124,11/13/19,1037045,1,EN,Australia,10,L,Atlantis lt jacket men,2013,2_Good,Yes,3,Repair,6,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1
56,385,12/19/19,1053531,1,EN,Australia,10,S,Boreal ar jacket men,2015,2_Good,No,9,Repair,4,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1
57,113,11/8/19,1069413,1,EN,Australia,10,M,Hudson jacket men,2015,0_Trashed,No,1006,30% Discount,4,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1
58,286,12/5/19,1070762,1,EN,Australia,10,M,Boreal ar jacket men,2007,1_Used,No,1008,30% Discount,12,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1
59,363,12/17/19,1074922,1,EN,Australia,10,L,Boreal sl jacket women,2011,2_Good,No,3,Replacement,8,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1
