Column1;Date;Case Number;ItemInCase;Language;Country;Repairability Index;Size;Model name;Year;General condition;Wash;Fabric;Fabric failure - Membrane delamination;Fabric failure - Leak through;Fabric failure - Wetting out;Fabric failure - Down leakage;Fabric failure - Fading;Fabric failure - Pilling;Fabric torn - Rips - Patchable;Fabric torn - Rips - Not patchable - 1 panel;Fabric torn - Rips - Not patchable - X panels;Fabric torn - Abrasion - Light;Fabric torn - Abrasion - Heavy - 1 panel;Fabric torn - Abrasion - Heavy - X panels;Fabric torn - Burn - Patchable - ;Fabric torn - Burn - Not patchable - 1 panel;Fabric torn - Burn - Not patchable - X panels;Fabric torn - Stain;Fabric torn - Membrane contamination - Light;Fabric torn - Membrane contamination - Heavy;Zipper failure - Zipper structureMain;Zipper failure - Zipper structureAll except main;Zipper failure - Zipper slider;Delamination - Press;Delamination - 70D Nylon;Delamination - Seam tape;Seam failure - Seam sewn non-WBW Membrane;Delamination - Seam sewn WBW Membrane;Delamination - Seam laminated;Other - Buckle;Known_issue;Repair solution;Repair Threshold;Customer Offer;Product_type;reasonofissue;Age;Repair Threshold Status;typeoffailure;misusetype
42;10/30/19;696252;2;EN;Australia;10;XL;Ionian ar jacket men;2010;2_Good;No;WBW 3L Membrane;;;;;;;;;;;;;;;;;arm pit;;;;;;all, including donuts inside pockets;neck, pocket bags donuts, both cuffs;;;;;No;Yes;5;Repair;shell;manufacturing_issueANDmisuse;9;below;construction_failure;contaminated
143;11/14/19;698568;1;EN;New Zealand;10;S;Ionian ar jacket women;2007;3_Excellent;No;WBW 3L Membrane;;;;;;;;;;;;;;;;;;;main zipper, ;;;all zippers, laminated pocket, pocket bags, ;all including inside pocket donuts, ;pocket donut, ;;;;;No;Yes;11;Repair;shell;manufacturing_issue;12;above;construction_failure;notmisused
144;11/14/19;698568;2;EN;New Zealand;10;XS;Barents lt jacket women;2009;3_Excellent;No;K Fleece;;;;;;;;;;;;;;;;;;;main zipper,;;;laminated pocket, pocket bags, neck pad, ;;pocket bag sdonuts, ;;;;;No;Yes;8;Repair;shell;manufacturing_issue;10;below;construction_failure;notmisused
232;11/28/19;702728;1;EN;Australia;10;L;Mediterranean ar women;2014;2_Good;No;K Fleece;;;;;;;;;;;;;;;;;;;;;main zipper, ;;;;riht and left hand pocket ends, ;;;;No;Yes;1;Repair;shell;manufacturing_issue;5;below;construction_failure;notmisused
233;11/28/19;702728;2;EN;Australia;10;L;Boreal ar jacket women;2011;2_Good;No;WBW 3L Membrane;;;;;;;;;;;;;;;;;;;;;;all zippers, hood facing, left laminated pocket, ;all 70D,;right cuff, left cuff, neck, ;;;;;No;Yes;8;Repair;shell;manufacturing_issue;8;below;construction_failure;notmisused
200;11/22/19;706309;1;EN;Australia;10;S;Boreal ar jacket men;2014;2_Good;No;WBW 3L Membrane;Shoulders,;;;;;;;;;;;both anckles,;;;;;;;;;;;;;;;;;No;Yes;1006;Replacement;shell;manufacturing_issueANDmisuse;5;above;fabric_failure;damaged
201;11/22/19;706309;2;EN;Australia;10;S;Boreal ar jacket men;2014;2_Good;No;WBW 3L Membrane;Shoulders,;;;;;;;;;;;both anckles,;;;;;;;;;;;;;;;;;No;Yes;1006;Replacement;shell;manufacturing_issueANDmisuse;5;above;fabric_failure;damaged
210;11/25/19;709213;1;EN;Australia;10;M;Labrador jacket women;2013;2_Good;No;WBW 3L Membrane;neck, hood, ;;;;;;;;;;;;;;;;;;;;;;;;;;;;No;Yes;1000;Replacement;shell;manufacturing_issue;6;above;fabric_failure;notmisused
209;11/25/19;709213;2;EN;Australia;10;M;Labrador sv jacket men;2013;2_Good;No;WBW 3L Membrane;hoodm back, arm pit, ;;;;;;;;;;;;;;;;;;;;;;;;;;;;No;Yes;1000;Replacement;shell;manufacturing_issue;6;above;fabric_failure;notmisused
236;11/28/19;709324;1;EN;Australia;10;M;Tasman lt men;2014;2_Good;No;Down Loft;;;;;;;;lower right front panel, ;;;;;;;;;;;;;;;;;;;;;No;Yes;3;50% Discount;shell;misuse;5;below;nofailure;damaged
237;11/28/19;709324;2;EN;Australia;10;M;Bering sv jacket men;2003;2_Good;No;WBW 3L Membrane;;;;;;;;lower right front panel, ;;;;;;;;;;;;;;;;;;;;;No;Yes;3;30% Discount;shell;misuse;16;below;nofailure;damaged
261;12/3/19;710710;1;EN;Australia;10;L;Boreal lt jacket women;2008;3_Excellent;No;WBW 3L Membrane;right cuff, left cuff, neck, ;;;;;;;;;;;;;;;;;;;;;laminated pocket,;all, ;both cuffs, pocket bags donuts, nekc, arm pit, ;;;;;No;Yes;1008;Replacement;shell;manufacturing_issue;11;above;fabric_failureANDconstruction_failure;notmisused
262;12/3/19;710710;2;EN;Australia;10;L;Ionian ar jacket women;2010;3_Excellent;No;WBW 3L Membrane;Neck,;;;;;;;;;;;;;;;;;neck, ;;;;lam pocket, ;all, ;neck, ;;;;;No;Yes;1008;Replacement;shell;manufacturing_issueANDmisuse;9;above;fabric_failureANDconstruction_failure;contaminated
243;11/29/19;712647;1;EN;Australia;10;WS;Boreal ar jacket women;2017;2_Good;No;WBW 3L Membrane;upper back, left shoulder, right shoulder, right arm pit zipper, left arm pit zipper, ;;;;;;;;;;;;;;;;;;;;;;;;;;;;No;Yes;1000;Replacement;shell;manufacturing_issue;2;above;fabric_failure;notmisused
244;11/29/19;712647;2;EN;Australia;10;XS;Boreal lt hybrid jacket women;2015;2_Good;No;WBW 2L Membrane;lower right front panel, lower left front panel, upper back, upper back, left shoulder, right shoulder, ;;;;;;;;;;lower right front panel, lower left front panel, ;;;;;;;;;;;;;;;;;;No;Yes;1003;Replacement;shell;manufacturing_issueANDmisuse;4;above;fabric_failure;damaged
291;12/6/19;713193;1;EN;Australia;10;L;Atlantis lt jacket men;2008;1_Used;No;WBW 3L Membrane;;;;;;;;;;hem left side, ;;;;;;;everywhere;;;;;pocket bags,  lam pocket, hood facing, ;all, ;neck, pocket bags donuts, arm pit donuts, donuts at seam junctions front panels;;;;;No;Yes;8;30% Discount;shell;manufacturing_issueANDmisuse;11;below;construction_failure;damagedandcontaminated
290;12/6/19;713193;2;EN;Australia;10;S;Bering sv jacket men;2008;1_Used;Yes;WBW 3L Membrane;;;;;;;;upper right front panel, ;;end of hand pocket flaps, both cuffs, ;;;;;;;;;;;;chest pocket zippers, ;;;;;;;No;Yes;6;Repair;shell;manufacturing_issueANDmisuse;11;below;construction_failure;damaged
413;12/30/19;715507;2;EN;Australia;10;XL;Mawson women;2010;2_Good;No;K Fleece;;;;;;all over but not excessively;;;;;;;;;;;;;;;;;;;;;;;No;Yes;0;Repair;shell;manufacturing_issue;9;below;fabric_failure;notmisused
333;12/12/19;716673;1;EN;Australia;10;M;Tasman lt men;2017;0_Trashed;No;Down Loft;;;;;;;;;right arm, right  front panel, ;;;;;;;all over, ;;;;;main zipper, ;;;;;;;;No;Yes;7;50% Discount;shell;manufacturing_issueANDmisuse;2;below;construction_failure;damagedandcontaminated
332;12/12/19;716673;2;EN;Australia;10;M;Boreal sl hybrid jacket men;2016;0_Trashed;No;WBW 2L Membrane;;;;;;;;;front lef tpanel, right arm, ;;;;;;;everywhere,;;;;;main zipper, ;;all, ;;;;;;No;Yes;10;30% Discount;shell;manufacturing_issueANDmisuse;3;equal;construction_failure;damagedandcontaminated
368;12/17/19;720026;1;EN;Australia;10;XS;Neptuna sv women;2009;2_Good;No;K Fleece;;;;;;;;;;;;;;;;;;;main zipper, ;;;hood facing, arm pocket, ;70D inside pocket, hood drawcord,;;;;;;No;Yes;9;Repair;shell;manufacturing_issue;10;below;construction_failure;notmisused
367;12/17/19;720026;2;EN;Australia;10;XS;Ionian ar jacket women;2015;2_Good;No;WBW 3L Membrane;;shoulders, ;;;;;;;;;;;;;;;;;main zipper, ;;;;;;;;;;No;Yes;1003;Replacement;shell;manufacturing_issue;4;above;fabric_failureANDconstruction_failure;notmisused
788;2/4/20;725536;1;EN;Australia;2;M;Bering sv jacket men;2011;1_Used;No;WBW 3L Membrane;;;;;;;;;;;;;;;;;;;;;;all zippers, hood, right cuff, left cuff, ;;hood, ;;;;;No;No;5;30% Discount;shell;manufacturing_issue;9;above;construction_failure;notmisused
787;2/4/20;725536;2;EN;Australia;2;M;Red jacket men;2011;1_Used;No;WBW 3L Membrane;;;;;;;;;;;;;;;;;;;;;;all zippers, hood, hood facing, ;right cuff, left cuff, powder skirt, hem drawcord, ;;;;;;No;No;6;30% Discount;shell;manufacturing_issue;9;above;construction_failure;notmisused
633;2/3/20;742901;1;EN;Australia;2;L;Aurora jacket men;2006;2_Good;No;K Fleece;;;;;;;;neck, ;both cuffs, ;;;;;;;;;;;;;pad nck exterior, arm pocket, ;chest pocket,  ;;right end of powder skirt, hand pocket flaps, ;;;;No;No;15;30% Discount;shell;manufacturing_issueANDmisuse;14;above;construction_failure;damaged
634;2/3/20;742901;2;EN;Australia;2;L;Labrador ar jacket men;2004;2_Good;No;WBW 3L Membrane;;;;;;;;;;;;;;;;;;;main zipper, ;;;all zippers, pocket bags, hood facing, cuffs lining, hem draw cord, lam pocket, neck pad, ;all, ;neck, donnuts at arm pit zip, pocket bag donuts, cuffs, ;;;;;No;No;11;30% Discount;shell;manufacturing_issue;16;above;construction_failure;notmisused
522;1/20/20;743395;1;EN;Australia;2;L;Boreal ar jacket women;2011;2_Good;No;WBW 3L Membrane;;;;;;;;;;;;;;;;;;;;;;lam pocket, pocket bag, ;alll,;neck, arm pit donuts, pocket bag donuts, ;;;;;No;No;8;Replacement;shell;manufacturing_issue;9;above;construction_failure;notmisused
521;1/20/20;743395;2;EN;Australia;2;L;Ionian ar jacket men;2011;3_Excellent;No;WBW 3L Membrane;arm pit, ;;;;;;;;;;;;;;;;;;;;;;;;;;;;No;Yes;1000;Replacement;shell;manufacturing_issue;9;above;fabric_failure;notmisused
692;2/7/20;744995;1;EN;Australia;2;XL;Adreatic jacket men;2008;3_Excellent;No;WBW 3L Membrane;;;;;;;;;;;;;;;;;;;;;;neck pad, hod cord tunnel, hood facing, ;all, ;neck, cuffs, along main zipper, ;;;;;No;No;8;30% Discount;shell;manufacturing_issue;12;above;construction_failure;notmisused
693;2/7/20;744995;2;EN;Australia;2;XL;Ionian ar jacket men;2009;2_Good;No;WBW 3L Membrane;;;;;;;;;;;;;;;;;everywhere, ;;;;;powder skirt, lam pocket, ocket bags, hood facing, all zippers, ;all, ;cuffs, main zipper, neck, pocket bag donuts, ;;;;;No;No;8;30% Discount;shell;manufacturing_issueANDmisuse;11;above;construction_failure;contaminated
767;1/24/20;749540;1;EN;Australia;2;M;Levantine lt jacket men;2010;2_Good;No;K Fleece;;;;;;;;;;;;;;;;;;;;;;left laminated pocket, right pocket bag, left pocket bag, ;hem drawcord, ;;;;;;No;Yes;6;Replacement;shell;manufacturing_issue;10;above;construction_failure;notmisused
766;1/24/20;749540;2;EN;Australia;2;M;Boreal sl jacket men;2011;2_Good;No;WBW 2L Membrane;;;;;;;;;;;;;;;;;;;;;;all zippers, ;right cuff, left cuff, hang tag, hem drawcord, ;;;;;;No;No;6;Replacement;shell;manufacturing_issue;9;above;construction_failure;notmisused
678;2/6/20;750183;2;EN;Australia;2;S;Flores coat women;2012;2_Good;No;WBW 3L Membrane;;;;;;;;;;;;;;;;;;;;;;hood facing, zipper, cuffs lining, ;;;;;;;No;No;3;Replacement;shell;manufacturing_issue;8;above;construction_failure;notmisused
663;2/5/20;750206;1;EN;Australia;2;M;Levantine lt jacket men;2002;2_Good;No;K Fleece;;;;;;;;;;;;;;;;;;;;;;all zippers, lam pocket chest, ;;;;;;;No;No;3;30% Discount;shell;manufacturing_issue;18;above;construction_failure;notmisused
662;2/5/20;750206;2;EN;Australia;2;M;Boreal ar jacket women;2010;3_Excellent;No;WBW 3L Membrane;cuffs, neck, ;;;;;;;;;;;;;;;;;cuffs, neck, ;;;;hood facing, lam pocket, pocket bags, ;all, ;both cuffs, neck, pokcet bags donuts, ;;;;;No;No;1008;Replacement;shell;manufacturing_issueANDmisuse;10;above;fabric_failureANDconstruction_failure;contaminated
607;1/29/20;750875;2;EN;Australia;2;M;Molucca ar jacket men;2016;2_Good;No;WBW 3L Membrane;;;;;;;;;;;;;;;;;;;;;main zipper, ;;;both cuffs, arm pit zip donuts, ;;;;;No;No;3;Replacement;shell;manufacturing_issue;4;above;construction_failure;notmisused
675;2/6/20;751715;1;EN;Australia;2;M;Tasman lt women;2015;2_Good;No;Down Loft;;;;;;;;right arm (self repaired),;;;;;;;;;;;;;;;;;;;;;No;No;3;50% Discount;shell;misuse;5;above;nofailure;damaged
676;2/6/20;751715;2;EN;Australia;2;S;Adreatic jacket women;2007;2_Good;No;WBW 3L Membrane;arm pit, ;;;;;;;;;;;;;;;;;;main zipper, ;;;;all, ;cuffs, neck, main zipper, hood, ;;;;;No;No;1008;30% Discount;shell;manufacturing_issue;13;above;fabric_failureANDconstruction_failure;notmisused
665;2/5/20;752886;1;EN;Australia;2;M;Atlantis fl jacket men;2013;2_Good;No;WBW 3L Membrane;;;;;;;right shoulder/upper back, ;;;;;;;;;;;;;;;;;;;;;;No;Yes;0;Repair;shell;misuse;7;below;nofailure;damaged
664;2/5/20;752886;2;EN;Australia;2;M;Atlantis sv jacket men;2013;2_Good;No;WBW 3L Membrane;neck, ;;;;;;;;;;;;;;;;;right cuff, ;;;;;;;;;;;No;No;1000;Replacement;shell;manufacturing_issueANDmisuse;7;above;fabric_failure;contaminated
279;12/5/19;71413;1;EN;Australia;10;M;Molucca ar jacket women;2016;2_Good;No;WBW 3L Membrane;;left shoulder, right shoulder, ;;;;;;;;;;;;;;;;;;;;;;;;;;;No;Yes;1000;Replacement;shell;manufacturing_issue;3;above;fabric_failure;notmisused
221;11/26/19;123456;1;EN;Australia;10;S;Atlantis ar jacket men;2016;2_Good;No;WBW 3L Membrane;;;;;;;;;;;;;;;;;;;main zipper, ;left arm pocket zipper, ;;;;;;;;;No;Yes;5;Repair;shell;manufacturing_issue;3;below;construction_failure;notmisused
382;12/19/19;496519;1;EN;Australia;10;L;Boreal ar jacket women;2010;3_Excellent;No;WBW 3L Membrane;both cuffs, shoulders, arm pits,;;;;;;;;;;;;;;;;;;;;main zipper, ;hood facing, pocket bags, all zippers, lam pocket, ;all, ;neck, arm pit donuts, pocket bag donuts, both cuffs, ;;;;;No;Yes;1009;Replacement;shell;manufacturing_issue;9;above;fabric_failureANDconstruction_failure;notmisused
94;11/6/19;550325;1;EN;Australia;10;XL;Boreal sl jacket men;2005;1_Used;No;WBW 2L Membrane;;;;;;;;;;;;;;;;;;;;;;neck pad, hood facing,;all, ;neck, both cuffs,;;;;;No;Yes;8;30% Discount;shell;manufacturing_issue;14;below;construction_failure;notmisused
107;11/7/19;584778;1;EN;Australia;10;M;Apka women;2015;2_Good;No;WBW 3L Membrane;;;;;;;;;;;;;;;;all over, ;;;;;;;;;;;;;No;Yes;0;Repair;shell;misuse;4;below;nofailure;contaminated
124;11/13/19;637045;1;EN;Australia;10;L;Atlantis lt jacket men;2013;2_Good;Yes;WBW 3L Membrane;;;;;;;;;;both cuffs, ;;;;;;all over, ;neck, ;;;;main zipper slider;;;both cuffs, ;;;;;No;Yes;3;Repair;shell;manufacturing_issueANDmisuse;6;below;construction_failure;damagedandcontaminated
385;12/19/19;653531;1;EN;Australia;10;S;Boreal ar jacket men;2015;2_Good;No;WBW 3L Membrane;;;;;;;;;;;;;;;;;;;;;main zipper, ;all zippers, hoo facing, ;hang tag, ;neck, both cuffs, ;;;;;No;Yes;9;Repair;shell;manufacturing_issue;4;below;construction_failure;notmisused
113;11/8/19;669413;1;EN;Australia;10;M;Hudson jacket men;2015;0_Trashed;No;WBW 3L Membrane;shoulders, arm pit, neck, hood;;;;;;front panels,;;;front panels,;;;;;;all over, ;neck, ;;main zipper, ;;;let arm pit,;;;;;;;No;Yes;1006;30% Discount;shell;manufacturing_issueANDmisuse;4;above;fabric_failureANDconstruction_failure;damagedandcontaminated
286;12/5/19;670762;1;EN;Australia;10;M;Boreal ar jacket men;2007;1_Used;No;WBW 3L Membrane;both cuffs, ;;;;;;;;;;;;;;;;all, ;;;;;all zippers, hood facing, neck pad, lam pocket, pocket bags, ;all, hem self repaired, ;both cuffs, neck, pocket bag donuts, arm pit donuts, ood cord tunnel, ;;;;;No;Yes;1008;30% Discount;shell;manufacturing_issueANDmisuse;12;above;fabric_failureANDconstruction_failure;contaminated
363;12/17/19;674922;1;EN;Australia;10;L;Boreal sl jacket women;2011;2_Good;No;WBW 2L Membrane;;;;;;;;;;;;;;;;;;;;;;;all, ;;;;;;No;Yes;3;Replacement;shell;manufacturing_issue;8;below;construction_failure;notmisused
64;11/1/19;679387;1;EN;Australia;10;M;Levantine mx men;2011;2_Good;No;WBW 3L Membrane;;;;;;;;;;;;;;;;;;;;;;arm pocket,;all;;;;;;No;Yes;6;Repair;shell;manufacturing_issue;8;below;construction_failure;notmisused
505;1/16/20;679411;1;EN;Australia;2;S;Boreal sl jacket women;2015;2_Good;No;WBW 2L Membrane;neck, ;;;;;;;;;;;;;;;;;;;;;;;neck, ;;;;;No;Yes;1002;Replacement;shell;manufacturing_issue;5;above;fabric_failureANDconstruction_failure;notmisused
205;11/25/19;679843;1;EN;Australia;10;S;Atlantis lt jacket women;2008;2_Good;No;WBW 3L Membrane;;;;;;;;;;;;;;;;;;;;;;laminated pocket, collar, ;all, ;neck, pocket bag donuts, cuffs, ;;;;;No;Yes;8;Repair;shell;manufacturing_issue;11;below;construction_failure;notmisused
17;10/28/19;680275;1;ENG;New Zealand;10;L;Ionian ar jacket men;2011;2_Good;No;WBW 3L Membrane;;;;;;;;;;;;;;;;;Neck, arm pits, right hand pocket;;;;;hood facing, ;all including donuts inside hand pockets;;;;;;No;Yes;6;Repair;shell;manufacturing_issueANDmisuse;8;below;construction_failure;contaminated
346;12/16/19;681448;1;EN;Australia;10;S;Ionian ar jacket women;2010;3_Excellent;No;WBW 3L Membrane;neck, ;;;;;;;;;;;;;;;;;;;;;;all, ;boht cuffs, ;;;;;No;Yes;1005;Replacement;shell;manufacturing_issue;9;above;fabric_failureANDconstruction_failure;notmisused
199;11/22/19;681580;1;EN;Australia;10;S;Ionian ar jacket women;2011;2_Good;No;WBW 3L Membrane;neck, hood, shoulders, ;;;;;;;;;;;;;;;;;;;;;;;;;;;;No;Yes;1000;Replacement;shell;manufacturing_issue;8;above;fabric_failure;notmisused
88;11/6/19;682273;1;EN;Australia;10;L;Boreal sl jacket men;2011;2_Good;No;WBW 2L Membrane;;;;;;;;;;;;;;;;;;;;;;;all, ;;;;;;No;Yes;3;Replacement;shell;manufacturing_issue;8;below;construction_failure;notmisused
212;11/26/19;685720;1;EN;Australia;10;S;Ionian ar jacket men;2010;2_Good;No;WBW 3L Membrane;front panels, neck, shoulders, ;;;;;;;;;;;;;;;;;neck,;;;;all zippers, pocket bags, hood facing, laminated pocket, neck pad, lining cuffs,  ;all, ;neck, pit zips, both cuffs, ;;;;;No;Yes;1008;30% Discount;shell;manufacturing_issueANDmisuse;9;above;fabric_failureANDconstruction_failure;contaminated
37;10/30/19;685896;1;EN;Australia;10;M;Bering sv jacket men;2012;2_Good;Yes;WBW 3L Membrane;at cuffs;;;;;;;;;both cuffs;;;;;;;;;main zipper;;;;;;;;;;No;Yes;1003;Replacement;shell;manufacturing_issueANDmisuse;7;above;fabric_failureANDconstruction_failure;damaged
442;1/3/20;685908;1;EN;Australia;10;S;Boreal sl jacket women;2013;2_Good;No;WBW 3L Membrane;;;;;;;;;;;;;;;;;;;;;;neck, arm pit;all, ;neck, ;;;;;No;Yes;8;Replacement;shell;manufacturing_issue;7;below;construction_failure;notmisused
226;11/27/19;685950;1;EN;Australia;10;S;Boreal lt hybrid jacket men;2015;2_Good;No;WBW 2L Membrane;;;;;;;;;;;;;;;;;;;;;;hood cord tunnel, neck pad, collar, ;;;;;;;No;Yes;3;Replacement;shell;manufacturing_issue;4;below;construction_failure;notmisused
79;11/5/19;685988;1;EN;Australia;10;M;Atlantis sv jacket women;2012;1_Used;No;WBW 3L Membrane;;;;;;;;;;armpits, both cufs, ;;;;;;;;;;;;all pocket zippers, hood facing, ;all, ;neck, arm pits, pocket bags, ;;;;;No;Yes;8;30% Discount;shell;manufacturing_issueANDmisuse;7;below;construction_failure;damaged
453;1/6/20;685993;1;EN;Australia;10;XS;Labrador ar jacket women;2005;1_Used;No;WBW 3L Membrane;;;;;;;;;;;;;;;;all over, ;;;;;;all zippers, hod facing, cuffs lining, neck pad, pocket bags, laminated pocket,  ;all, ;neck, arm pit zip donuts, ;hand tag, ;;;arm pocket window, ;No;Yes;8;30% Discount;shell;manufacturing_issueANDmisuse;15;below;construction_failure;contaminated
188;11/21/19;686498;1;EN;Australia;10;S;Boreal ar jacket men;2012;2_Good;No;WBW 3L Membrane;;;;;;;;;;;;lowerback, sides, ;;;;;neck, ;;;;;hood facing, ;all, ;both cuffs, neck, pocket bag donuts, ;;;;;No;Yes;14;Replacement;shell;manufacturing_issueANDmisuse;7;above;construction_failure;damagedandcontaminated
14;10/25/19;686725;1;ENG;New Zealand;10;M;Boreal sl jacket men;2012;2_Good;No;WBW 3L Membrane;Slight front panel;;;;;;;;;front panel;;;;;;Front left pannel;;;;;;;All;Neck;;;;;No;Yes;1005;Replacement;shell;manufacturing_issueANDmisuse;7;above;fabric_failureANDconstruction_failure;damagedandcontaminated
425;1/2/20;687073;1;EN;Australia;10;L;Ionian svx  jacket men;2013;2_Good;No;WBW 3L Membrane;neck, hood, ;;;;;;;;;;;;;;;;;;;;;;;;;;;;No;Yes;1000;Replacement;shell;manufacturing_issue;7;above;fabric_failure;notmisused
80;11/5/19;687162;1;EN;Australia;10;L;Atlantis lt jacket women;2010;2_Good;No;WBW 3L Membrane;;;;;;;;;;;;;;;;;neck, light everywhere,;;;;;hood facing, ;all, ;boh cuffs, neck, pocket bags donuts, collar, ;;;;;No;Yes;8;Repair;shell;manufacturing_issueANDmisuse;9;below;construction_failure;contaminated
56;10/31/19;688011;1;EN;Australia;10;M;Levantine lt men;2012;2_Good;No;K Fleece;;;;;;;;right sleeve, ;;;;;;;;;;;;;;;;;;;;;No;Yes;3;50% Discount;shell;misuse;7;below;nofailure;damaged
3;10/24/19;688533;1;ENG;New Zealand;10;XS;Atlantis sl jacket women;2011;1_Used;No;WBW 3L Membrane;Shoulders, arm pit,  hood;;;;;;;;;;;;;;;Front panels;;;;;;Neck pad;All;Neck;;;;;No;Yes;1008;30% Discount;shell;manufacturing_issueANDmisuse;8;above;fabric_failureANDconstruction_failure;contaminated
1;10/24/19;688539;1;ENG;New Zealand;10;L;Boreal ar jacket women;2009;2_Good;No;WBW 3L Membrane;Arm pit;;;;;;;;;;;;;;;Upper back;Arm pits;;Main zipper;;;All zippers, hood facing, laminated pocket, pocket bags, ;All;Neck, Arm pit, pocket bags;;;;;No;Yes;1011;30% Discount;shell;manufacturing_issueANDmisuse;10;above;fabric_failureANDconstruction_failure;contaminated
91;11/6/19;689624;1;EN;Australia;10;M;seeker comp jacket women;2011;2_Good;No;K Fleece;;;;;;;;;;;;;;;;;;;main zipper,;;;;hem drew cord, ;;;;;;No;Yes;6;Repair;shell;manufacturing_issue;8;below;construction_failure;notmisused
